Serial No,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
2620,Tata Indica Vista Quadrajet LS,"San Jose, CA",2014,180000,Diesel,Manual,First,22.3 kmpl,1248 CC,74 bhp,5.0,,2.5
2621,Ford Fiesta 1.4 TDCi EXI,"Dallas, TX",2006,89326,Diesel,Manual,Third,17.8 kmpl,1399 CC,68 bhp,5.0,,1.55
2622,Renault Duster 85PS Diesel RxE,"Los Angeles, CA",2016,54000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,13258.82 USD,6.5
2623,BMW 5 Series 520d Sedan,"Houston, TX",2012,95000,Diesel,Automatic,Second,18.48 kmpl,,,,,18.0
2624,Hyundai Grand i10 CRDi SportZ Edition,"Houston, TX",2015,66337,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,,4.96
2625,Honda Brio S MT,"San Antonio, TX",2012,60000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,3.25
2626,Audi A4 1.8 TFSI,"Chicago, IL",2010,38001,Petrol,Automatic,First,12.3 kmpl,1781 CC,163.2 bhp,5.0,,8.5
2627,Maruti Alto 800 2016-2019 LXI,"Chicago, IL",2014,73000,Petrol,Manual,Second,24.7 kmpl,796 CC,47.3 bhp,5.0,,2.75
2628,Hyundai Verna Transform SX VTVT,"San Antonio, TX",2011,61000,Petrol,Manual,Second,16.2 kmpl,1599 CC,103.2 bhp,5.0,,3.4
2629,Maruti Ertiga ZDI,"New York, NY",2013,120000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,,7.0
2630,Chevrolet Optra Magnum 1.6 LT ABS BS3,"Houston, TX",2012,71787,Petrol,Manual,First,12.9 kmpl,1598 CC,102.5 bhp,5.0,,3.21
2631,Hyundai Creta 1.6 CRDi SX Option,"Chicago, IL",2016,11554,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,14.25
2632,Volkswagen Vento 1.5 TDI Highline,"Los Angeles, CA",2014,90000,Diesel,Manual,First,20.34 kmpl,1498 CC,103.2 bhp,5.0,,6.5
2633,Honda City i VTEC SV,"Phoenix, AZ",2014,48104,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,,5.49
2634,Hyundai Getz GLS ABS,"Los Angeles, CA",2005,91000,Petrol,Manual,Third,16.8 kmpl,1341 CC,83 bhp,5.0,,0.8
2635,Hyundai Santro Xing XG eRLX Euro III,"Dallas, TX",2007,58815,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5.0,,1.99
2636,Hyundai Grand i10 AT Asta,"New York, NY",2015,33931,Petrol,Automatic,Second,18.9 kmpl,1197 CC,82 bhp,5.0,,5.91
2637,Hyundai Grand i10 1.2 Kappa Sportz Option,"San Antonio, TX",2019,13916,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,,6.44
2638,Maruti Wagon R LXI CNG,"Los Angeles, CA",2012,90400,CNG,Manual,First,26.2 km/kg,998 CC,58.2 bhp,5.0,,2.9
2639,Hyundai Grand i10 Sportz,"Houston, TX",2015,14000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,4.6
2640,Maruti Swift VDI BSIV,"San Antonio, TX",2007,121000,Diesel,Manual,Second,17.8 kmpl,1248 CC,null bhp,5.0,,2.35
2641,Hyundai i20 Asta 1.2,"San Antonio, TX",2016,17560,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,7.21
2642,Renault Duster 85PS Diesel RxL,"Philadelphia, PA",2016,60000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,,8.0
2643,Maruti Swift Dzire VDi,"New York, NY",2009,88096,Diesel,Manual,Second,19.3 kmpl,1248 CC,73.9 bhp,5.0,,3.5
2644,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,"Dallas, TX",2008,178280,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,,5.9
2645,Tata Nano Twist XT,"San Diego, CA",2015,19963,Petrol,Manual,Second,25.4 kmpl,624 CC,37.5 bhp,4.0,,1.74
2646,Ford Figo 2015-2019 1.2P Sports Edition MT,"San Diego, CA",2019,1000,Petrol,Manual,First,18.12 kmpl,1196 CC,86.8 bhp,5.0,,6.8
2647,Hyundai i20 1.2 Asta Option,"Philadelphia, PA",2017,8000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,7.5
2648,Honda BRV i-VTEC V MT,"Los Angeles, CA",2016,9200,Petrol,Manual,First,15.4 kmpl,1497 CC,117.3 bhp,7.0,15976.47 USD,8.0
2649,Honda Amaze S Diesel,"New York, NY",2015,29000,Diesel,Manual,First,27.4 kmpl,1498 CC,98.6 bhp,5.0,10694.12 USD,5.99
2650,Hyundai Creta 1.6 CRDi SX,"Phoenix, AZ",2017,27000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,12.9
2651,Maruti Baleno Zeta 1.2,"San Jose, CA",2018,22900,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,,7.0
2652,Audi Q5 2.0 TDI Technology,"San Antonio, TX",2014,50000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5.0,,35.0
2653,Honda Amaze S i-DTEC,"Los Angeles, CA",2015,60207,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,5.5
2654,BMW X5 3.0d,"Los Angeles, CA",2010,101119,Diesel,Automatic,First,11.0 kmpl,2993 CC,235 bhp,5.0,,18.46
2655,Ford Figo Petrol Titanium,"Philadelphia, PA",2010,42000,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5.0,,2.4
2656,Maruti Wagon R VXI,"Dallas, TX",2002,93000,Petrol,Manual,Third,18.9 kmpl,998 CC,67.1 bhp,5.0,,1.0
2657,Hyundai i10 Era,"San Diego, CA",2012,60000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,,2.65
2658,Skoda Rapid 1.5 TDI AT Elegance,"San Jose, CA",2015,66122,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5.0,,5.96
2659,Porsche Panamera Diesel,"Dallas, TX",2015,25100,Diesel,Automatic,First,17.85 kmpl,2967 CC,300 bhp,4.0,,75.0
2660,Mercedes-Benz CLA 200 Sport Edition,"San Diego, CA",2017,24733,Petrol,Automatic,First,15.04 kmpl,1991 CC,183 bhp,5.0,,27.15
2661,Audi A6 2.8 FSI,"Houston, TX",2008,41000,Petrol,Automatic,Second,10.4 kmpl,2773 CC,201 bhp,5.0,,10.5
2662,Maruti Ciaz ZXi Plus,"Los Angeles, CA",2015,30000,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,6.7
2663,Ford Ecosport 1.5 DV5 MT Titanium,"Philadelphia, PA",2013,36000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,4.9
2664,Mahindra Bolero mHAWK D70 ZLX,"Chicago, IL",2017,40279,Diesel,Manual,First,16.5 kmpl,1493 CC,70 bhp,7.0,,8.0
2665,Maruti Alto K10 VXI,"Philadelphia, PA",2018,46805,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,4811.76 USD,3.63
2666,Maruti Swift Dzire 1.2 Vxi BSIV,"Houston, TX",2015,60000,Petrol,Manual,First,17.5 kmpl,1197 CC,85.8 bhp,5.0,,4.8
2667,Tata Zest Revotron 1.2T XE,"Chicago, IL",2017,100000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,8035.29 USD,4.25
2668,Maruti Swift 1.3 VXi,"Los Angeles, CA",2014,32986,Petrol,Manual,First,16.1 kmpl,,,,,4.24
2669,Ford Endeavour 3.2 Trend AT 4X4,"New York, NY",2018,51530,Diesel,Automatic,First,10.91 kmpl,3198 CC,197.2 bhp,7.0,,30.27
2670,Mercedes-Benz New C-Class C 220 CDI CLASSIC,"Phoenix, AZ",2013,81456,Diesel,Manual,First,15.8 kmpl,2148 CC,170 bhp,5.0,,14.25
2671,Hyundai i10 Sportz AT,"Phoenix, AZ",2012,37229,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5.0,,3.41
2672,Honda City 1.5 S MT,"San Diego, CA",2009,73200,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,2.78
2673,Skoda Octavia Elegance 2.0 TDI AT,"Phoenix, AZ",2015,71826,Diesel,Automatic,First,19.3 kmpl,1968 CC,141 bhp,5.0,,15.5
2674,Tata Indica V2 eLS,"Dallas, TX",2017,129000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5.0,,3.0
2675,Maruti Wagon R VXi BSII,"Houston, TX",2012,82000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,2.3
2676,Hyundai Creta 1.6 CRDi SX,"Chicago, IL",2017,40459,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,13.28
2677,Maruti A-Star Lxi,"Houston, TX",2009,61964,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5.0,,2.25
2678,Maruti Wagon R LXI,"Los Angeles, CA",2011,15466,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,5929.41 USD,3.36
2679,Honda Mobilio E i VTEC,"Philadelphia, PA",2014,23000,Petrol,Manual,First,17.3 kmpl,1497 CC,117.3 bhp,7.0,,4.25
2680,Hyundai i10 Magna,"San Diego, CA",2012,43766,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,4.3
2681,Skoda Superb 3.6 V6 FSI,"Dallas, TX",2010,54000,Petrol,Automatic,First,0.0 kmpl,3597 CC,262.6 bhp,5.0,,6.0
2682,Hyundai i20 1.4 Sportz,"Chicago, IL",2018,18521,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,,9.18
2683,Maruti Celerio ZXI Optional,"New York, NY",2017,26400,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,,4.99
2684,Skoda Laura 1.8 TSI Ambiente,"San Antonio, TX",2011,31900,Petrol,Manual,First,13.4 kmpl,1798 CC,157.8 bhp,5.0,,3.75
2685,Ford Figo Diesel LXI,"San Jose, CA",2010,39000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.5
2686,Honda Jazz 1.5 VX i DTEC,"Houston, TX",2016,45671,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,,7.2
2687,Mercedes-Benz E-Class 2015-2017 E250 Edition E,"San Antonio, TX",2016,39500,Diesel,Automatic,First,15.0 kmpl,2143 CC,204 bhp,5.0,,29.5
2688,Mercedes-Benz GLA Class 200 CDI SPORT,"San Antonio, TX",2015,54000,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5.0,,17.55
2689,Volvo S60 D3,"Philadelphia, PA",2012,20000,Diesel,Automatic,First,18.5 kmpl,1985 CC,163 bhp,5.0,,12.0
2690,Audi A8 L 3.0 TDI quattro,"Philadelphia, PA",2009,55000,Diesel,Automatic,First,11.8 kmpl,2967 CC,246.7 bhp,5.0,,13.5
2691,Hyundai Verna 1.6 SX CRDI (O) AT,"San Jose, CA",2014,48000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,5.1
2692,BMW 3 Series 320d,"Dallas, TX",2011,70000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,51541.18 USD,10.3
2693,Hyundai Verna 1.6 SX,"San Antonio, TX",2014,62000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,5.7
2694,Maruti Wagon R VXI,"Phoenix, AZ",2014,41994,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,6023.53 USD,3.41
2695,Ford Figo Diesel EXI,"San Antonio, TX",2010,108882,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5.0,,2.4
2696,Mahindra KUV 100 mFALCON G80 K2,"San Jose, CA",2017,24806,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,6.0,,5.6
2697,Tata Indigo LS,"Houston, TX",2006,160000,Diesel,Manual,First,17.0 kmpl,1405 CC,70 bhp,5.0,,1.0
2698,Mahindra TUV 300 T8 AMT,"Philadelphia, PA",2017,30000,Diesel,Automatic,First,18.49 kmpl,1493 CC,100 bhp,7.0,,8.2
2699,Audi Q3 35 TDI Quattro Premium Plus,"New York, NY",2015,51000,Diesel,Automatic,First,15.17 kmpl,1968 CC,181 bhp,5.0,57223.53 USD,27.5
2700,Maruti Wagon R VXI 1.2,"Philadelphia, PA",2015,64876,Petrol,Manual,First,21.5 kmpl,1197 CC,81.80 bhp,5.0,6717.65 USD,3.5
2701,Maruti Celerio CNG VXI MT,"Houston, TX",2016,70536,CNG,Manual,First,31.79 km/kg,998 CC,58.33 bhp,5.0,6905.88 USD,4.58
2702,Maruti Vitara Brezza ZDi Plus Dual Tone,"Los Angeles, CA",2017,25299,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,14776.47 USD,10.34
2703,Mahindra Scorpio DX 2.6 Turbo 8 Str,"San Jose, CA",2006,89869,Diesel,Manual,First,12.7 kmpl,2609 CC,116.6 bhp,8.0,,3.25
2704,Hyundai Tucson CRDi,"Dallas, TX",2007,103515,Diesel,Manual,Third,12.6 kmpl,1991 CC,112 bhp,7.0,,5.0
2705,Hyundai Santro Xing GLS,"San Jose, CA",2008,68282,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,,2.25
2706,Porsche Panamera Diesel 250hp,"San Diego, CA",2014,60033,Diesel,Automatic,First,18.18 kmpl,2967 CC,250 bhp,4.0,,51.52
2707,Maruti Vitara Brezza VDi Option,"Los Angeles, CA",2018,51921,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,,8.62
2708,Maruti Swift Dzire VDI,"Los Angeles, CA",2017,18414,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,7.25
2709,Honda Amaze V Petrol,"Los Angeles, CA",2016,40866,Petrol,Manual,First,19.5 kmpl,1199 CC,86.76 bhp,5.0,9600.00 USD,5.47
2710,Jaguar XF 2.2 Litre Luxury,"Phoenix, AZ",2014,55001,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,,31.0
2711,Mini Cooper Convertible S,"San Jose, CA",2017,20469,Petrol,Automatic,First,16.82 kmpl,1998 CC,189.08 bhp,4.0,52094.12 USD,35.98
2712,Hyundai EON Era Plus,"Chicago, IL",2017,8500,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,3.42
2713,Audi A6 3.0 TDI quattro,"San Antonio, TX",2008,45000,Diesel,Automatic,Second,16.77 kmpl,2967 CC,241.38 bhp,5.0,,11.5
2714,Hyundai i20 Active 1.2 SX Dual Tone,"Phoenix, AZ",2016,6000,Petrol,Manual,First,17.19 kmpl,1197 CC,81.86 bhp,5.0,,7.25
2715,Maruti Swift AMT DDiS VDI,"Philadelphia, PA",2018,11000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,,8.0
2716,Ford Ecosport 1.5 DV5 MT Titanium,"San Antonio, TX",2015,80064,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,7.33
2717,Maruti Wagon R VXI BS IV with ABS,"Chicago, IL",2016,29930,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,3.35
2718,Volkswagen Vento 1.5 TDI Highline,"Houston, TX",2013,49105,Diesel,Manual,First,20.34 kmpl,1498 CC,103.2 bhp,5.0,,4.4
2719,Toyota Etios VX,"San Diego, CA",2012,55000,Petrol,Manual,First,17.6 kmpl,1496 CC,88.7 bhp,5.0,,2.99
2720,Honda Jazz 1.2 SV i VTEC,"Houston, TX",2015,23000,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5.0,,5.6
2721,Volkswagen CrossPolo 1.5 TDI,"Dallas, TX",2016,54727,Diesel,Manual,First,20.14 kmpl,1498 CC,88.73 bhp,5.0,,6.63
2722,Volkswagen Ameo 1.5 TDI Highline,"Philadelphia, PA",2018,31426,Diesel,Manual,First,21.66 kmpl,1498 CC,108.62 bhp,5.0,11435.29 USD,7.9
2723,Honda City V MT Exclusive,"New York, NY",2015,53442,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,7.0
2724,Honda Brio VX AT,"New York, NY",2014,28000,Petrol,Automatic,First,16.5 kmpl,1198 CC,86.8 bhp,5.0,,4.95
2725,Skoda Rapid 1.6 MPI AT Style,"San Diego, CA",2017,13412,Petrol,Automatic,First,14.3 kmpl,1598 CC,103.52 bhp,5.0,,9.19
2726,Hyundai Verna CRDi,"Phoenix, AZ",2011,70000,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5.0,,5.1
2727,Hyundai i20 Active S Diesel,"New York, NY",2015,81310,Diesel,Manual,First,21.19 kmpl,1396 CC,88.76 bhp,5.0,,5.9
2728,Maruti Baleno Alpha CVT,"Chicago, IL",2019,13574,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,12117.65 USD,9.51
2729,Honda CR-V 2.4L 4WD MT,"San Antonio, TX",2008,75000,Petrol,Manual,Second,11.1 kmpl,2354 CC,158.8 bhp,5.0,,3.9
2730,Maruti Swift Dzire VXI,"Los Angeles, CA",2014,58310,Petrol,Manual,Second,19.1 kmpl,1197 CC,85.8 bhp,5.0,,5.39
2731,Maruti Swift Dzire VDi,"Los Angeles, CA",2009,90000,Diesel,Manual,Second,19.3 kmpl,1248 CC,73.9 bhp,5.0,,3.0
2732,Maruti Swift Dzire ZDI,"New York, NY",2012,83000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,4.3
2733,Maruti Swift Dzire ZXI,"Chicago, IL",2017,37282,Petrol,Manual,First,20.85 kmpl,1197 CC,83.14 bhp,5.0,,6.75
2734,Hyundai Grand i10 Sportz,"Phoenix, AZ",2017,23000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,4.5
2735,Ford Fiesta 1.4 ZXi TDCi ABS,"San Diego, CA",2010,82000,Diesel,Manual,First,17.8 kmpl,1399 CC,68 bhp,5.0,,2.75
2736,Hyundai Verna 1.6 CRDi S,"San Diego, CA",2016,31000,Diesel,Manual,First,23.9 kmpl,1582 CC,126.2 bhp,5.0,,9.0
2737,Maruti Wagon R Vx,"San Antonio, TX",2001,200000,Petrol,Manual,First,12.0 kmpl,,,,,0.7
2738,Ford Figo Diesel EXI,"San Diego, CA",2014,45001,Diesel,Manual,Second,20.0 kmpl,1399 CC,68.05 bhp,5.0,,2.55
2739,Tata Manza Aqua Quadrajet BS IV,"Los Angeles, CA",2014,50446,Diesel,Manual,First,21.12 kmpl,1248 CC,88.8 bhp,5.0,,3.54
2740,Honda Civic 2006-2010 1.8 S MT,"Houston, TX",2009,89000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,,4.25
2741,Maruti Alto LX BSIII,"Philadelphia, PA",2007,72000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.2
2742,BMW 5 Series 520d Luxury Line,"Houston, TX",2013,90000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,74952.94 USD,19.5
2743,Mahindra XUV500 W8 2WD,"San Jose, CA",2015,76000,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7.0,,12.0
2744,Maruti Ritz VDi,"San Antonio, TX",2012,78401,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,,3.9
2745,Maruti Vitara Brezza ZDi Plus,"Philadelphia, PA",2017,38426,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,13082.35 USD,9.13
2746,Maruti Eeco 7 Seater Standard,"San Antonio, TX",2011,45000,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7.0,5517.65 USD,2.25
2747,Maruti Swift Dzire 1.2 Vxi BSIV,"Chicago, IL",2012,83000,Petrol,Manual,First,17.5 kmpl,1197 CC,85.8 bhp,5.0,,3.25
2748,Hyundai Creta 1.6 CRDi AT SX Plus,"Dallas, TX",2017,50170,Diesel,Automatic,First,17.01 kmpl,1582 CC,126.2 bhp,5.0,,14.79
2749,Maruti Wagon R LXI,"New York, NY",2010,37822,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,5929.41 USD,2.35
2750,Maruti Celerio ZDi,"San Jose, CA",2015,33517,Diesel,Manual,First,27.62 kmpl,793 CC,47 bhp,5.0,,3.1
2751,Hyundai Santa Fe 2WD AT,"San Jose, CA",2014,110000,Diesel,Automatic,First,13.01 kmpl,2199 CC,194.3 bhp,7.0,,12.9
2752,Hyundai EON D Lite Plus Option,"Chicago, IL",2017,60000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,2.5
2753,Hyundai i20 Sportz 1.2,"San Antonio, TX",2013,92408,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,,3.65
2754,Hyundai Verna 1.6 SX VTVT (O),"Houston, TX",2014,45000,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5.0,,7.5
2755,Honda Brio S Option MT,"Houston, TX",2013,33793,Petrol,Manual,First,18.4 kmpl,1198 CC,86.8 bhp,5.0,,3.74
2756,Maruti Swift VXI Optional,"Los Angeles, CA",2017,26327,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,,5.86
2757,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,"Los Angeles, CA",2018,20604,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,,39.62
2758,Maruti Swift VDI Optional,"San Antonio, TX",2018,61386,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,7.05
2759,Maruti Swift AMT VDI,"New York, NY",2018,11500,Diesel,Automatic,First,28.4 kmpl,1248 CC,74 bhp,5.0,,7.5
2760,Chevrolet Beat Diesel LS,"New York, NY",2012,58000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5.0,,2.1
2761,Skoda Superb Elegance 1.8 TSI AT,"Chicago, IL",2014,38000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,,11.6
2762,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,"Dallas, TX",2012,49000,Diesel,Automatic,Second,14.84 kmpl,2143 CC,167.62 bhp,5.0,,19.25
2763,Toyota Innova Crysta 2.4 VX MT 8S,"Chicago, IL",2017,72202,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,28247.06 USD,17.92
2764,Hyundai i10 Sportz,"San Antonio, TX",2016,7000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,3.6
2765,Honda Amaze S i-DTEC,"San Diego, CA",2014,20000,Diesel,Manual,Second,25.8 kmpl,1498 CC,98.6 bhp,5.0,,4.5
2766,Hyundai i20 Magna 1.4 CRDi (Diesel),"San Diego, CA",2017,14061,Diesel,Manual,First,21.9 kmpl,1396 CC,88.76 bhp,5.0,,7.4
2767,Mercedes-Benz GLE 350d,"Phoenix, AZ",2018,30706,Diesel,Automatic,First,11.57 kmpl,2987 CC,254.79 bhp,5.0,111917.65 USD,59.29
2768,Mahindra Scorpio 2009-2014 SLE 7S BSIV,"Philadelphia, PA",2011,51387,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,7.0,,5.5
2769,Hyundai Getz GLE,"Phoenix, AZ",2006,44000,Petrol,Manual,Second,15.3 kmpl,1341 CC,83 bhp,5.0,,1.75
2770,Maruti Baleno Alpha,"Philadelphia, PA",2016,12208,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,10329.41 USD,6.75
2771,Chevrolet Optra Magnum 2.0 LT,"San Antonio, TX",2011,55000,Diesel,Manual,First,16.52 kmpl,1991 CC,123.7 bhp,5.0,,3.95
2772,Hyundai Verna 1.6 SX VTVT (O),"Dallas, TX",2011,61600,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5.0,,4.2
2773,Honda City 1.5 V MT,"Dallas, TX",2016,28414,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,8.4
2774,Volkswagen Polo GT TSI,"San Antonio, TX",2017,27853,Petrol,Automatic,First,17.21 kmpl,1197 CC,103.5 bhp,5.0,13247.06 USD,8.25
2775,Honda Brio E MT,"San Antonio, TX",2013,55116,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,3.31
2776,Maruti Swift Dzire VDI,"New York, NY",2017,26000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,,7.5
2777,Honda City 1.5 V MT Exclusive,"San Diego, CA",2012,45496,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,4.75
2778,Mahindra Ssangyong Rexton RX7,"Phoenix, AZ",2013,76000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7.0,,8.79
2779,Skoda Superb Elegance 1.8 TSI MT,"Los Angeles, CA",2014,136000,Petrol,Manual,First,13.1 kmpl,1798 CC,157.75 bhp,5.0,,9.5
2780,Hyundai Santro GLS II - Euro II,"Phoenix, AZ",2009,100000,Petrol,Manual,First,0.0 kmpl,,,,,1.6
2781,Maruti Alto LXi,"Chicago, IL",2010,38127,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.55
2782,Hyundai i20 Asta (o) 1.4 CRDi (Diesel),"San Jose, CA",2014,82450,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5.0,,5.85
2783,Ford Ecosport 1.5 Ti VCT MT Trend,"Los Angeles, CA",2014,62497,Petrol,Manual,First,15.8 kmpl,1499 CC,110 bhp,5.0,,7.52
2784,Nissan Micra Diesel XV,"Philadelphia, PA",2011,86732,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,3.6
2785,Honda Brio E MT,"Phoenix, AZ",2016,27969,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,4.73
2786,Mahindra Ssangyong Rexton RX7,"Philadelphia, PA",2013,66372,Diesel,Automatic,First,11.18 kmpl,2696 CC,184 bhp,7.0,,10.5
2787,BMW 7 Series 730Ld Sedan,"San Jose, CA",2013,73525,Diesel,Automatic,First,16.46 kmpl,2993 CC,258 bhp,5.0,,34.54
2788,Hyundai Grand i10 1.2 Kappa Sportz,"Chicago, IL",2018,20689,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,7858.82 USD,6.07
2789,Maruti Baleno Delta 1.2,"San Antonio, TX",2018,25093,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,,7.76
2790,Mahindra Xylo E8 ABS BS IV,"Phoenix, AZ",2016,49176,Diesel,Manual,First,11.68 kmpl,2498 CC,112 bhp,8.0,,7.46
2791,Renault Fluence Diesel E4,"Chicago, IL",2012,87510,Diesel,Manual,First,21.8 kmpl,1461 CC,78 bhp,5.0,,3.49
2792,Hyundai i20 1.2 Magna,"Phoenix, AZ",2012,38214,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,5.0,,4.05
2793,Mitsubishi Pajero 2.8 SFX,"Houston, TX",2013,48986,Diesel,Manual,First,10.5 kmpl,2835 CC,107.2 bhp,6.0,,11.88
